# 2017/03/04 - 16:39
PDB,CHAIN,ACCESSION,EC_NUMBER
1afq,B,P00766,3.4.21.1
1afq,C,P00766,3.4.21.1
1afr,A,P22337,1.14.19.2
1afr,B,P22337,1.14.19.2
1afr,C,P22337,1.14.19.2
1afr,D,P22337,1.14.19.2
1afr,E,P22337,1.14.19.2
1afr,F,P22337,1.14.19.2
1afs,A,P23457,1.1.1.50
1afs,B,P23457,1.1.1.50
1aft,A,P11157,1.17.4.1
1afu,A,P61823,3.1.27.5
1afu,B,P61823,3.1.27.5
1afv,A,P12497,2.7.7.49
1afv,A,P12497,2.7.7.7
1afv,A,P12497,3.1.13.2
1afv,A,P12497,3.1.26.13
1afv,A,P12497,3.4.23.16
1afv,B,P12497,2.7.7.49
1afv,B,P12497,2.7.7.7
1afv,B,P12497,3.1.13.2
1afv,B,P12497,3.1.26.13
1afv,B,P12497,3.4.23.16
1afw,A,P27796,2.3.1.16
1afw,B,P27796,2.3.1.16
1ag1,O,P04789,5.3.1.1
1ag1,T,P04789,5.3.1.1
1ag8,A,P20000,1.2.1.3
1ag8,B,P20000,1.2.1.3
1ag8,C,P20000,1.2.1.3
1ag8,D,P20000,1.2.1.3
1agi,A, ,3.1.27.-
1agj,A, ,3.4.21.-
1agj,B, ,3.4.21.-
1agm,A,P69327,3.2.1.3
1agn,A,P40394,1.1.1.1
1agn,B,P40394,1.1.1.1
1agn,C,P40394,1.1.1.1
1agn,D,P40394,1.1.1.1
1ags,A,P09210,2.5.1.18
1ags,B,P09210,2.5.1.18
1agw,A,P11362,2.7.10.1
1agw,B,P11362,2.7.10.1
1agx,A,P10172,3.5.1.38
1agy,A,P00590,3.1.1.74
1ah0,A,P80276,1.1.1.21
1ah3,A,P80276,1.1.1.21
1ah4,A,P80276,1.1.1.21
1ah5,A,P06983,2.5.1.61
1ah7,A,P09598,3.1.4.3
1aha,A,P16094,3.2.2.22
1ahb,A,P16094,3.2.2.22
1ahc,A,P16094,3.2.2.22
1ahe,A,P00509,2.6.1.1
1ahe,B,P00509,2.6.1.1
1ahf,A,P00509,2.6.1.1
1ahf,B,P00509,2.6.1.1
1ahg,A,P00509,2.6.1.1
1ahg,B,P00509,2.6.1.1
1ahh,A,P0AET8,1.1.1.159
1ahh,B,P0AET8,1.1.1.159
1ahi,A,P0AET8,1.1.1.159
1ahi,B,P0AET8,1.1.1.159
1ahj,A,P13448,4.2.1.84
1ahj,B,P13449,4.2.1.84
1ahj,C,P13448,4.2.1.84
1ahj,D,P13449,4.2.1.84
1ahj,E,P13448,4.2.1.84
1ahj,F,P13449,4.2.1.84
1ahj,G,P13448,4.2.1.84
1ahj,H,P13449,4.2.1.84
1ahp,A,P00490,2.4.1.1
1ahp,B,P00490,2.4.1.1
1aht,H,P00734,3.4.21.5
1aht,L,P00734,3.4.21.5
1ahu,A,P56216,1.1.3.38
1ahu,B,P56216,1.1.3.38
1ahv,A,P56216,1.1.3.38
1ahv,B,P56216,1.1.3.38
1ahx,A,P00509,2.6.1.1
1ahx,B,P00509,2.6.1.1
1ahy,A,P00509,2.6.1.1
1ahy,B,P00509,2.6.1.1
1ahz,A,P56216,1.1.3.38
1ahz,B,P56216,1.1.3.38
1ai2,A,P08200,1.1.1.42
1ai3,A,P08200,1.1.1.42
1ai4,A,P06875,3.5.1.11
1ai4,B,P06875,3.5.1.11
1ai5,A,P06875,3.5.1.11
1ai5,B,P06875,3.5.1.11
1ai6,A,P06875,3.5.1.11
1ai6,B,P06875,3.5.1.11
1ai7,A,P06875,3.5.1.11
1ai7,B,P06875,3.5.1.11
1ai8,H,P00734,3.4.21.5
1ai8,L,P00734,3.4.21.5
1ai9,A,P22906,1.5.1.3
1ai9,B,P22906,1.5.1.3
1aia,A,P00509,2.6.1.1
1aia,B,P00509,2.6.1.1
1aib,A,P00509,2.6.1.1
1aib,B,P00509,2.6.1.1
1aic,A,P00509,2.6.1.1
1aic,B,P00509,2.6.1.1
1aid,A,P03369,2.7.7.49
1aid,A,P03369,2.7.7.7
1aid,A,P03369,3.1.13.2
1aid,A,P03369,3.1.26.13
1aid,A,P03369,3.4.23.16
1aid,B,P03369,2.7.7.49
1aid,B,P03369,2.7.7.7
1aid,B,P03369,3.1.13.2
1aid,B,P03369,3.1.26.13
1aid,B,P03369,3.4.23.16
1aim,A,P25779,3.4.22.51
1aiq,A,P0A884,2.1.1.45
1aiq,B,P0A884,2.1.1.45
1air,A,P11073,4.2.2.2
1aiw,A,P07103,3.2.1.4
1aix,H,P00734,3.4.21.5
1aix,L,P00734,3.4.21.5
1aj0,A,P0AC13,2.5.1.15
1aj2,A,P0AC13,2.5.1.15
1aj6,A,P0AES6,5.99.1.3
1aj8,A,Q53554,2.3.3.16
1aj8,B,Q53554,2.3.3.16
1aja,A,P00634,3.1.3.1
1aja,B,P00634,3.1.3.1
1ajb,A,P00634,3.1.3.1
1ajb,B,P00634,3.1.3.1
1ajc,A,P00634,3.1.3.1
1ajc,B,P00634,3.1.3.1
1ajd,A,P00634,3.1.3.1
1ajd,B,P00634,3.1.3.1
1ajk,A,P23904,3.2.1.73
1ajk,B,P23904,3.2.1.73
1ajm,A,P0A884,2.1.1.45
1ajn,A,P06875,3.5.1.11
1ajn,B,P06875,3.5.1.11
1ajo,A,P23904,3.2.1.73
1ajo,B,P23904,3.2.1.73
1ajp,A,P06875,3.5.1.11
1ajp,B,P06875,3.5.1.11
1ajq,A,P06875,3.5.1.11
1ajq,B,P06875,3.5.1.11
1ajr,A,P00503,2.6.1.1
1ajr,A,P00503,2.6.1.3
1ajr,B,P00503,2.6.1.1
1ajr,B,P00503,2.6.1.3
1ajs,A,P00503,2.6.1.1
1ajs,A,P00503,2.6.1.3
1ajs,B,P00503,2.6.1.1
1ajs,B,P00503,2.6.1.3
1ajv,A,P03366,2.7.7.49
1ajv,A,P03366,2.7.7.7
1ajv,A,P03366,3.1.13.2
1ajv,A,P03366,3.1.26.13
1ajv,A,P03366,3.4.23.16
1ajv,B,P03366,2.7.7.49
1ajv,B,P03366,2.7.7.7
1ajv,B,P03366,3.1.13.2
1ajv,B,P03366,3.1.26.13
1ajv,B,P03366,3.4.23.16
1ajx,A,P03366,2.7.7.49
1ajx,A,P03366,2.7.7.7
1ajx,A,P03366,3.1.13.2
1ajx,A,P03366,3.1.26.13
1ajx,A,P03366,3.4.23.16
1ajx,B,P03366,2.7.7.49
1ajx,B,P03366,2.7.7.7
1ajx,B,P03366,3.1.13.2
1ajx,B,P03366,3.1.26.13
1ajx,B,P03366,3.4.23.16
1ajz,A,P0AC13,2.5.1.15
1ak0,A,P24289,3.1.30.1
1ak1,A,P32396,4.99.1.1
1ak2,A,P08166,2.7.4.3
1ak4,A,P62937,5.2.1.8
1ak4,B,P62937,5.2.1.8
1ak4,C,P12497,2.7.7.49
1ak4,C,P12497,2.7.7.7
1ak4,C,P12497,3.1.13.2
1ak4,C,P12497,3.1.26.13
1ak4,C,P12497,3.4.23.16
1ak4,D,P12497,2.7.7.49
1ak4,D,P12497,2.7.7.7
1ak4,D,P12497,3.1.13.2
1ak4,D,P12497,3.1.26.13
1ak4,D,P12497,3.4.23.16
1ak5,A,P50097,1.1.1.205
1ak9,A,P00782,3.4.21.62
1aka,A,P00508,2.6.1.1
1aka,A,P00508,2.6.1.7
1aka,B,P00508,2.6.1.1
1aka,B,P00508,2.6.1.7
1akb,A,P00508,2.6.1.1
1akb,A,P00508,2.6.1.7
1akc,A,P00508,2.6.1.1
1akc,A,P00508,2.6.1.7
1akd,A,P00183,1.14.15.1
1ake,A,P69441,2.7.4.3
1ake,B,P69441,2.7.4.3
1aki,A,P00698,3.2.1.17
1akl,A,Q03023,3.4.24.40
1akm,A,P04391,2.1.3.3
1akm,B,P04391,2.1.3.3
1akm,C,P04391,2.1.3.3
1akn,A,P30122,3.1.1.13
1akn,A,P30122,3.1.1.3
1ako,A,P09030,3.1.11.2
1aks,A,P00761,3.4.21.4
1aks,B,P00761,3.4.21.4
1aky,A,P07170,2.7.4.3
1akz,A,P13051,3.2.2.27
1al2,1,P03300,2.7.7.48
1al2,1,P03300,3.4.22.28
1al2,1,P03300,3.4.22.29
1al2,1,P03300,3.6.1.15
1al2,2,P03300,2.7.7.48
1al2,2,P03300,3.4.22.28
1al2,2,P03300,3.4.22.29
1al2,2,P03300,3.6.1.15
1al2,3,P03300,2.7.7.48
1al2,3,P03300,3.4.22.28
1al2,3,P03300,3.4.22.29
1al2,3,P03300,3.6.1.15
1al2,4,P03300,2.7.7.48
1al2,4,P03300,3.4.22.28
1al2,4,P03300,3.4.22.29
1al2,4,P03300,3.6.1.15
1al6,A,P23007,2.3.3.1
1al7,A,P05414,1.1.3.15
1al8,A,P05414,1.1.3.15
1ald,A,P04075,4.1.2.13
1alg,A,P00390,1.8.1.7
1alh,A,P00634,3.1.3.1
1alh,B,P00634,3.1.3.1
1ali,A,P00634,3.1.3.1
1ali,B,P00634,3.1.3.1
1alj,A,P00634,3.1.3.1
1alj,B,P00634,3.1.3.1
1alk,A,P00634,3.1.3.1
1alk,B,P00634,3.1.3.1
1aln,A,P0ABF6,3.5.4.5
1alq,A,P00807,3.5.2.6
1am2,A,P72065,5.99.1.3
1am5,A, ,3.4.23.1
1am6,A,P00918,4.2.1.1
1am7,A,P03706,4.2.2.n2
1am7,B,P03706,4.2.2.n2
1am7,C,P03706,4.2.2.n2
1ama,A,P00508,2.6.1.1
1ama,A,P00508,2.6.1.7
1amh,A,P00763,3.4.21.4
1amh,B,P00763,3.4.21.4
1ami,A,P20004,4.2.1.3
1amj,A,P20004,4.2.1.3
1amk,A,P48499,5.3.1.1
1amn,A,P04058,3.1.1.7
1amo,A,P00388,1.6.2.4
1amo,B,P00388,1.6.2.4
1amp,A,Q01693,3.4.11.10
1amq,A,P00509,2.6.1.1
1amr,A,P00509,2.6.1.1
1ams,A,P00509,2.6.1.1
1amu,A,P0C061,5.1.1.11
1amu,B,P0C061,5.1.1.11
1amy,A,P04063,3.2.1.1
1amz,A,P23007,2.3.3.1
1an1,E,P00761,3.4.21.4
1an5,A,P0A884,2.1.1.45
1an5,B,P0A884,2.1.1.45
1an9,A,P00371,1.4.3.3
1an9,B,P00371,1.4.3.3
1anb,A,P00763,3.4.21.4
1anc,A,P00763,3.4.21.4
1and,A,P00763,3.4.21.4
1ane,A,P00763,3.4.21.4
1ani,A,P00634,3.1.3.1
1ani,B,P00634,3.1.3.1
1anj,A,P00634,3.1.3.1
1anj,B,P00634,3.1.3.1
1ank,A,P69441,2.7.4.3
1ank,B,P69441,2.7.4.3
1ao0,A,P00497,2.4.2.14
1ao0,B,P00497,2.4.2.14
1ao0,C,P00497,2.4.2.14
1ao0,D,P00497,2.4.2.14
1ao5,A,P36368,3.4.21.119
1ao5,B,P36368,3.4.21.119
1ao8,A,P00381,1.5.1.3
1aob,A,P0A884,2.1.1.45
1aod,A,P34024,4.6.1.13
1aoe,A,P22906,1.5.1.3
1aoe,B,P22906,1.5.1.3
1aof,A,P72181,1.7.2.1
1aof,A,P72181,1.7.99.1
1aof,B,P72181,1.7.2.1
1aof,B,P72181,1.7.99.1
1aog,A,P28593,1.8.1.12
1aog,B,P28593,1.8.1.12
1aok,B,P14420,3.1.1.4
1aom,A,P72181,1.7.2.1
1aom,A,P72181,1.7.99.1
1aom,B,P72181,1.7.2.1
1aom,B,P72181,1.7.99.1
1aop,A,P17846,1.8.1.2
1aoq,A,P72181,1.7.2.1
1aoq,A,P72181,1.7.99.1
1aoq,B,P72181,1.7.2.1
1aoq,B,P72181,1.7.99.1
1aor,A,Q51739,1.2.7.5
1aor,B,Q51739,1.2.7.5
1aos,A,P04424,4.3.2.1
1aos,B,P04424,4.3.2.1
1aot,F,P06241,2.7.10.2
1aou,F,P06241,2.7.10.2
1aoz,A,P37064,1.10.3.3
1aoz,B,P37064,1.10.3.3
1ap5,A,P04179,1.15.1.1
1ap5,B,P04179,1.15.1.1
1ap6,A,P04179,1.15.1.1
1ap6,B,P04179,1.15.1.1
1apa,A,Q03464,3.2.2.22
1apm,E,P05132,2.7.11.11
1apo,A,P00743,3.4.21.6
1apq,A,P00736,3.4.21.41
1aps,A,P00818,3.6.1.7
1apt,E,P00798,3.4.23.20
1apu,E,P00798,3.4.23.20
1apv,E,P00798,3.4.23.20
1apw,E,P00798,3.4.23.20
1apx,A,P48534,1.11.1.11
1apx,B,P48534,1.11.1.11
1apx,C,P48534,1.11.1.11
1apx,D,P48534,1.11.1.11
1apy,A,P20933,3.5.1.26
1apy,B,P20933,3.5.1.26
1apy,C,P20933,3.5.1.26
1apy,D,P20933,3.5.1.26
1apz,A,P20933,3.5.1.26
1apz,B,P20933,3.5.1.26
1apz,C,P20933,3.5.1.26
1apz,D,P20933,3.5.1.26
1aq0,A,P12257,3.2.1.73
1aq0,B,P12257,3.2.1.73
1aq1,A,P24941,2.7.11.22
1aq2,A,P22259,4.1.1.49
1aq6,A,Q60099,3.8.1.2
1aq6,B,Q60099,3.8.1.2
1aq7,A,P00760,3.4.21.4
1aq8,A,P38501,1.7.2.1
1aq8,B,P38501,1.7.2.1
1aq8,C,P38501,1.7.2.1
1aqf,A,P11974,2.7.1.40
1aqf,B,P11974,2.7.1.40
1aqf,C,P11974,2.7.1.40
1aqf,D,P11974,2.7.1.40
1aqf,E,P11974,2.7.1.40
1aqf,F,P11974,2.7.1.40
1aqf,G,P11974,2.7.1.40
1aqf,H,P11974,2.7.1.40
1aqh,A,P29957,3.2.1.1
1aqi,A,P14385,2.1.1.72
1aqi,B,P14385,2.1.1.72
1aqj,A,P14385,2.1.1.72
1aqj,B,P14385,2.1.1.72
1aql,A,P30122,3.1.1.13
1aql,A,P30122,3.1.1.3
1aql,B,P30122,3.1.1.13
1aql,B,P30122,3.1.1.3
1aqm,A,P29957,3.2.1.1
1aqn,A,P00782,3.4.21.62
1aqp,A,P61823,3.1.27.5
1aqt,A, ,3.6.1.34
1aqu,A,P49891,2.8.2.4
1aqu,B,P49891,2.8.2.4
1aqv,A,P09211,2.5.1.18
1aqv,B,P09211,2.5.1.18
1aqw,A,P09211,2.5.1.18
1aqw,B,P09211,2.5.1.18
1aqw,C,P09211,2.5.1.18
1aqw,D,P09211,2.5.1.18
1aqx,A,P09211,2.5.1.18
1aqx,B,P09211,2.5.1.18
1aqx,C,P09211,2.5.1.18
1aqx,D,P09211,2.5.1.18
1aqy,A,P49891,2.8.2.4
1aqy,B,P49891,2.8.2.4
1aqz,A, ,3.1.27.-
1aqz,B, ,3.1.27.-
1ar1,A,P98002,1.9.3.1
1ar1,B,P08306,1.9.3.1
1ar4,A,P80293,1.15.1.1
1ar4,B,P80293,1.15.1.1
1ar5,A,P80293,1.15.1.1
1ar5,B,P80293,1.15.1.1
1ar6,1,P03300,2.7.7.48
1ar6,1,P03300,3.4.22.28
1ar6,1,P03300,3.4.22.29
1ar6,1,P03300,3.6.1.15
1ar6,2,P03300,2.7.7.48
1ar6,2,P03300,3.4.22.28
1ar6,2,P03300,3.4.22.29
1ar6,2,P03300,3.6.1.15
1ar6,3,P03300,2.7.7.48
1ar6,3,P03300,3.4.22.28
1ar6,3,P03300,3.4.22.29
1ar6,3,P03300,3.6.1.15
1ar6,4,P03300,2.7.7.48
1ar6,4,P03300,3.4.22.28
1ar6,4,P03300,3.4.22.29
1ar6,4,P03300,3.6.1.15
1ar7,1,P03300,2.7.7.48
1ar7,1,P03300,3.4.22.28
1ar7,1,P03300,3.4.22.29
1ar7,1,P03300,3.6.1.15
1ar7,2,P03300,2.7.7.48
1ar7,2,P03300,3.4.22.28
1ar7,2,P03300,3.4.22.29
1ar7,2,P03300,3.6.1.15
1ar7,3,P03300,2.7.7.48
1ar7,3,P03300,3.4.22.28
1ar7,3,P03300,3.4.22.29
1ar7,3,P03300,3.6.1.15
1ar7,4,P03300,2.7.7.48
1ar7,4,P03300,3.4.22.28
1ar7,4,P03300,3.4.22.29
1ar7,4,P03300,3.6.1.15
1ar8,1,P03300,2.7.7.48
1ar8,1,P03300,3.4.22.28
1ar8,1,P03300,3.4.22.29
1ar8,1,P03300,3.6.1.15
1ar8,2,P03300,2.7.7.48
1ar8,2,P03300,3.4.22.28
1ar8,2,P03300,3.4.22.29
1ar8,2,P03300,3.6.1.15
1ar8,3,P03300,2.7.7.48
1ar8,3,P03300,3.4.22.28
1ar8,3,P03300,3.4.22.29
1ar8,3,P03300,3.6.1.15
1ar8,4,P03300,2.7.7.48
1ar8,4,P03300,3.4.22.28
1ar8,4,P03300,3.4.22.29
1ar8,4,P03300,3.6.1.15
1ar9,1,P03300,2.7.7.48
1ar9,1,P03300,3.4.22.28
1ar9,1,P03300,3.4.22.29
1ar9,1,P03300,3.6.1.15
1ar9,2,P03300,2.7.7.48
1ar9,2,P03300,3.4.22.28
1ar9,2,P03300,3.4.22.29
1ar9,2,P03300,3.6.1.15
1ar9,3,P03300,2.7.7.48
1ar9,3,P03300,3.4.22.28
1ar9,3,P03300,3.4.22.29
1ar9,3,P03300,3.6.1.15
1ar9,4,P03300,2.7.7.48
1ar9,4,P03300,3.4.22.28
1ar9,4,P03300,3.4.22.29
1ar9,4,P03300,3.6.1.15
1arb,A,P15636,3.4.21.50
1arc,A,P15636,3.4.21.50
1arg,A,P00509,2.6.1.1
1arg,B,P00509,2.6.1.1
1arh,A,P00509,2.6.1.1
1arh,B,P00509,2.6.1.1
1ari,A,P00509,2.6.1.1
1ari,B,P00509,2.6.1.1
1arl,A,P00730,3.4.17.1
1arm,A,P00730,3.4.17.1
1aro,L,P00806,3.5.1.28
1aro,P,P00573,2.7.7.6
1arp,A,P28313,1.11.1.7
1ars,A,P00509,2.6.1.1
1art,A,P00509,2.6.1.1
1aru,A,P28313,1.11.1.7
1arv,A,P28313,1.11.1.7
1arw,A,P28313,1.11.1.7
1arx,A,P28313,1.11.1.7
1ary,A,P28313,1.11.1.7
1arz,A,P04036,1.17.1.8
1arz,B,P04036,1.17.1.8
1arz,C,P04036,1.17.1.8
1arz,D,P04036,1.17.1.8
1as6,A,P38501,1.7.2.1
1as6,B,P38501,1.7.2.1
1as6,C,P38501,1.7.2.1
1as7,A,P38501,1.7.2.1
1as7,B,P38501,1.7.2.1
1as7,C,P38501,1.7.2.1
1as8,A,P38501,1.7.2.1
1as8,B,P38501,1.7.2.1
1as8,C,P38501,1.7.2.1
1asa,A,P00509,2.6.1.1
1asb,A,P00509,2.6.1.1
1asc,A,P00509,2.6.1.1
1asd,A,P00509,2.6.1.1
1ase,A,P00509,2.6.1.1
1asf,A,P00509,2.6.1.1
1asg,A,P00509,2.6.1.1
1asj,1,P03300,2.7.7.48
1asj,1,P03300,3.4.22.28
1asj,1,P03300,3.4.22.29
1asj,1,P03300,3.6.1.15
1asj,2,P03300,2.7.7.48
1asj,2,P03300,3.4.22.28
1asj,2,P03300,3.4.22.29
1asj,2,P03300,3.6.1.15
1asj,3,P03300,2.7.7.48
1asj,3,P03300,3.4.22.28
1asj,3,P03300,3.4.22.29
1asj,3,P03300,3.6.1.15
1asj,4,P03300,2.7.7.48
1asj,4,P03300,3.4.22.28
1asj,4,P03300,3.4.22.29
1asj,4,P03300,3.6.1.15
1asl,A,P00509,2.6.1.1
1asl,B,P00509,2.6.1.1
1asm,A,P00509,2.6.1.1
1asm,B,P00509,2.6.1.1
1asn,A,P00509,2.6.1.1
1asn,B,P00509,2.6.1.1
1aso,A,P37064,1.10.3.3
1aso,B,P37064,1.10.3.3
1asp,A,P37064,1.10.3.3
1asp,B,P37064,1.10.3.3
1asq,A,P37064,1.10.3.3
1asq,B,P37064,1.10.3.3
1ast,A,P07584,3.4.24.21
1asu,A,O92956,2.7.7.49
1asu,A,O92956,2.7.7.7
1asu,A,O92956,3.1.26.4
1asv,A,O92956,2.7.7.49
1asv,A,O92956,2.7.7.7
1asv,A,O92956,3.1.26.4
1asw,A,O92956,2.7.7.49
1asw,A,O92956,2.7.7.7
1asw,A,O92956,3.1.26.4
1asy,A,P04802,6.1.1.12
1asy,B,P04802,6.1.1.12
1asz,A,P04802,6.1.1.12
1asz,B,P04802,6.1.1.12
1at1,A,P0A786,2.1.3.2
1at1,C,P0A786,2.1.3.2
1at5,A,P00698,3.2.1.17
1at6,A,P00698,3.2.1.17
1ati,A,P56206,6.1.1.14
1ati,B,P56206,6.1.1.14
1atj,A,P00433,1.11.1.7
1atj,B,P00433,1.11.1.7
1atj,C,P00433,1.11.1.7
1atj,D,P00433,1.11.1.7
1atj,E,P00433,1.11.1.7
1atj,F,P00433,1.11.1.7
1atk,A,P43235,3.4.22.38
1atl,A,P15167,3.4.24.42
1atl,B,P15167,3.4.24.42
1atn,D,P00639,3.1.21.1
1atp,E,P05132,2.7.11.11
1atr,A, ,3.6.1.3
1ats,A, ,3.6.1.3
1aty,A, ,3.6.1.34
1au0,A,P43235,3.4.22.38
1au2,A,P43235,3.4.22.38
1au3,A,P43235,3.4.22.38
1au4,A,P43235,3.4.22.38
1au8,A,P08311,3.4.21.20
1au9,A,P00782,3.4.21.62
1aue,A,P42345,2.7.11.1
1aue,B,P42345,2.7.11.1
1aug,A,P46107,3.4.19.3
1aug,B,P46107,3.4.19.3
1aug,C,P46107,3.4.19.3
1aug,D,P46107,3.4.19.3
1aui,A,Q08209,3.1.3.16
1auj,A,P00760,3.4.21.4
1auk,A,P15289,3.1.6.8
1aum,A,P12497,2.7.7.49
1aum,A,P12497,2.7.7.7
1aum,A,P12497,3.1.13.2
1aum,A,P12497,3.1.26.13
1aum,A,P12497,3.4.23.16
1auo,A,Q53547,3.1.1.1
1auo,B,Q53547,3.1.1.1
1aup,A,P24295,1.4.1.2
1aur,A,Q53547,3.1.1.1
1aur,B,Q53547,3.1.1.1
1aus,L,P00875,4.1.1.39
1aus,M,P00875,4.1.1.39
1aus,N,P00875,4.1.1.39
1aus,O,P00875,4.1.1.39
1aus,S,Q43832,4.1.1.39
1aus,T,Q43832,4.1.1.39
1aus,U,Q43832,4.1.1.39
1aus,V,Q43832,4.1.1.39
1aut,C,P04070,3.4.21.69
1aut,L,P04070,3.4.21.69
1auw,A,P24058,4.3.2.1
1auw,B,P24058,4.3.2.1
1auw,C,P24058,4.3.2.1
1auw,D,P24058,4.3.2.1
1av4,A,P46881,1.4.3.21
1av6,A,P07617,2.1.1.57
1av7,A,P00780,3.4.21.62
1av8,A,P69924,1.17.4.1
1av8,B,P69924,1.17.4.1
1ava,A,P04063,3.2.1.1
1ava,B,P04063,3.2.1.1
1avf,A,P20142,3.4.23.3
1avf,J,P20142,3.4.23.3
1avf,P,P20142,3.4.23.3
1avf,Q,P20142,3.4.23.3
1avg,H,P00735,3.4.21.5
1avg,L,P00735,3.4.21.5
1avk,A,P46881,1.4.3.21
1avl,A,P46881,1.4.3.21
1avm,A,P80293,1.15.1.1
1avm,B,P80293,1.15.1.1
1avn,A,P00918,4.2.1.1
1avp,A,P03252,3.4.22.39
1avq,A,P03697,3.1.11.3
1avq,B,P03697,3.1.11.3
1avq,C,P03697,3.1.11.3
1avt,A,P00780,3.4.21.62
1avw,A,P00761,3.4.21.4
1avx,A,P00761,3.4.21.4
1avz,C,P06241,2.7.10.2
1aw0,A,Q04656,3.6.3.54
1aw1,A,P50921,5.3.1.1
1aw1,B,P50921,5.3.1.1
1aw1,D,P50921,5.3.1.1
1aw1,E,P50921,5.3.1.1
1aw1,G,P50921,5.3.1.1
1aw1,H,P50921,5.3.1.1
1aw1,J,P50921,5.3.1.1
1aw1,K,P50921,5.3.1.1
1aw2,A,P50921,5.3.1.1
1aw2,B,P50921,5.3.1.1
1aw2,D,P50921,5.3.1.1
1aw2,E,P50921,5.3.1.1
1aw2,G,P50921,5.3.1.1
1aw2,H,P50921,5.3.1.1
1aw2,J,P50921,5.3.1.1
1aw2,K,P50921,5.3.1.1
1aw5,A,P05373,4.2.1.24
1aw8,A,P0A790,4.1.1.11
1aw8,B,P0A790,4.1.1.11
1aw8,D,P0A790,4.1.1.11
1aw8,E,P0A790,4.1.1.11
1aw9,A, ,2.5.1.18
1awb,A,P29218,3.1.3.25
1awb,A,P29218,3.1.3.94
1awb,B,P29218,3.1.3.25
1awb,B,P29218,3.1.3.94
1awf,H,P00734,3.4.21.5
1awf,L,P00734,3.4.21.5
1awh,A,P00734,3.4.21.5
1awh,B,P00734,3.4.21.5
1awh,C,P00734,3.4.21.5
1awh,D,P00734,3.4.21.5
1awj,A,Q03526,2.7.10.2
1awo,A,P00519,2.7.10.2
1awq,A,P62937,5.2.1.8
1awr,A,P62937,5.2.1.8
1awr,B,P62937,5.2.1.8
1awr,C,P62937,5.2.1.8
1awr,D,P62937,5.2.1.8
1awr,E,P62937,5.2.1.8
1awr,F,P62937,5.2.1.8
1aws,A,P62937,5.2.1.8
1awt,A,P62937,5.2.1.8
1awt,B,P62937,5.2.1.8
1awt,C,P62937,5.2.1.8
1awt,D,P62937,5.2.1.8
1awt,E,P62937,5.2.1.8
1awt,F,P62937,5.2.1.8
1awu,A,P62937,5.2.1.8
1awv,A,P62937,5.2.1.8
1awv,B,P62937,5.2.1.8
1awv,C,P62937,5.2.1.8
1awv,D,P62937,5.2.1.8
1awv,E,P62937,5.2.1.8
1awv,F,P62937,5.2.1.8
1aww,A,Q06187,2.7.10.2
1awx,A,Q06187,2.7.10.2
1awz,A, ,3.1.27.-
1ax3,A,P20166,2.7.1.199
1ax4,A,P28796,4.1.99.1
1ax4,B,P28796,4.1.99.1
1ax4,C,P28796,4.1.99.1
1ax4,D,P28796,4.1.99.1
1ax9,A,P04058,3.1.1.7
1axa,A,P03366,2.7.7.49
1axa,A,P03366,2.7.7.7
1axa,A,P03366,3.1.13.2
1axa,A,P03366,3.1.26.13
1axa,A,P03366,3.4.23.16
1axa,B,P03366,2.7.7.49
1axa,B,P03366,2.7.7.7
1axa,B,P03366,3.1.13.2
1axa,B,P03366,3.1.26.13
1axa,B,P03366,3.4.23.16
1axb,A,P62593,3.5.2.6
1axd,A,P12653,2.5.1.18
1axd,B,P12653,2.5.1.18
1axe,A,P00327,1.1.1.1
1axe,B,P00327,1.1.1.1
1axg,A,P00327,1.1.1.1
1axg,B,P00327,1.1.1.1
1axg,C,P00327,1.1.1.1
1axg,D,P00327,1.1.1.1
1axk,A,P23904,3.2.1.73
1axk,A,P18429,3.2.1.8
1axk,B,P23904,3.2.1.73
1axk,B,P18429,3.2.1.8
1axr,A,P00489,2.4.1.1
1axw,A,P0A884,2.1.1.45
1axw,B,P0A884,2.1.1.45
1ay0,A,P23254,2.2.1.1
1ay0,B,P23254,2.2.1.1
1ay4,A,P95468,2.6.1.57
1ay4,B,P95468,2.6.1.57
1ay5,A,P95468,2.6.1.57
1ay5,B,P95468,2.6.1.57
1ay6,H,P00734,3.4.21.5
1ay6,L,P00734,3.4.21.5
1ay7,A,P05798,3.1.27.3
1ay8,A,P95468,2.6.1.57
1ay8,B,P95468,2.6.1.57
1ay9,A, ,3.4.21.-
1ay9,B, ,3.4.21.-
1aya,A,P35235,3.1.3.48
1aya,B,P35235,3.1.3.48
1aya,P,P05622,2.7.10.1
1aya,Q,P05622,2.7.10.1
1ayb,A,P35235,3.1.3.48
1ayc,A,P35235,3.1.3.48
1ayc,P,P05622,2.7.10.1
1ayd,A,P35235,3.1.3.48
1aye,A,P48052,3.4.17.15
1ayk,A,P03956,3.4.24.7
1ayl,A,P22259,4.1.1.49
1aym,1,Q82122,2.7.7.48
1aym,1,Q82122,3.4.22.28
1aym,1,Q82122,3.4.22.29
1aym,1,Q82122,3.6.1.15
1aym,2,Q82122,2.7.7.48
1aym,2,Q82122,3.4.22.28
1aym,2,Q82122,3.4.22.29
1aym,2,Q82122,3.6.1.15
1aym,3,Q82122,2.7.7.48
1aym,3,Q82122,3.4.22.28
1aym,3,Q82122,3.4.22.29
1aym,3,Q82122,3.6.1.15
